orf_name,hours,n,normalized_cs,q_cs,effect_cs,exp_id,exp_environment
YAL048C,34,4,0.89926,0.001045,decreased,33,"N++,C++"
YAL048C,35,4,0.940541,0.00151,decreased,91,"N++,C+"
YAL048C,58,4,0.904474,0.001182,decreased,93,"N-,C++"
YAL049C,34,4,0.988189,0.029576,unchanged,28,"N+, C+"
YAL049C,34,4,0.987444,0.010188,unchanged,31,"N+, C++"
YAL049C,34,4,0.987462,0.018161,unchanged,33,"N++,C++"
YAL049C,35,4,1.02694,0.125841,unchanged,91,"N++,C+"
YAL049C,58,4,1.019932,0.189127,unchanged,93,"N-,C++"
YAL053W,34,4,0.910527,0.000755,decreased,28,"N+, C+"
YAL053W,34,4,0.918471,0.001347,decreased,31,"N+, C++"
YAL053W,34,4,0.922692,0.001072,decreased,33,"N++,C++"
YAL053W,35,4,0.944927,0.001553,decreased,91,"N++,C+"
YAL053W,58,4,0.946142,0.001188,decreased,93,"N-,C++"
YAL055W,34,4,1.014997,0.19664,unchanged,28,"N+, C+"
YAL055W,34,4,1.006022,0.078796,unchanged,31,"N+, C++"
YAL055W,34,4,1.038896,0.141604,unchanged,33,"N++,C++"
YAL055W,35,4,1.03007,0.258712,unchanged,91,"N++,C+"
YAL055W,58,4,1.062021,0.026987,unchanged,93,"N-,C++"
YAL056W,34,4,0.9852,0.003817,unchanged,28,"N+, C+"
YAL056W,34,4,1.0129,0.111989,unchanged,31,"N+, C++"
YAL056W,34,4,1.013593,0.189958,unchanged,33,"N++,C++"
YAL056W,35,4,0.986592,0.015387,unchanged,91,"N++,C+"
YAL056W,58,4,0.929329,0.001199,decreased,93,"N-,C++"
YAL059W,34,4,0.993707,0.015992,unchanged,28,"N+, C+"
YAL059W,34,4,1.015353,0.139558,unchanged,31,"N+, C++"
YAL059W,34,4,1.01963,0.202346,unchanged,33,"N++,C++"
YAL059W,35,4,1.021486,0.319484,unchanged,91,"N++,C+"
YAL059W,58,4,0.991443,0.05368,unchanged,93,"N-,C++"
YAL060W,34,4,0.992247,0.049461,unchanged,28,"N+, C+"
YAL060W,34,4,1.017474,0.248426,unchanged,31,"N+, C++"
YAL060W,34,4,1.013548,0.146975,unchanged,33,"N++,C++"
YAL060W,35,4,0.997899,0.089671,unchanged,91,"N++,C+"
YAL060W,58,4,1.026539,0.260396,unchanged,93,"N-,C++"
YAL061W,34,4,0.986606,0.008567,unchanged,28,"N+, C+"
YAL061W,34,4,1.004814,0.04642,unchanged,31,"N+, C++"
YAL061W,34,4,1.02558,0.229808,unchanged,33,"N++,C++"
YAL061W,35,4,0.999483,0.062844,unchanged,91,"N++,C+"
YAL061W,58,4,0.999444,0.061003,unchanged,93,"N-,C++"
YAL062W,34,4,0.989788,0.007513,unchanged,28,"N+, C+"
YAL062W,34,4,0.994986,0.033477,unchanged,31,"N+, C++"
YAL062W,34,4,0.986074,0.003554,unchanged,33,"N++,C++"
YAL062W,35,4,0.941947,0.02992,unchanged,91,"N++,C+"
YAL062W,58,4,0.969754,0.03989,unchanged,93,"N-,C++"
YAL064C-A,34,4,1.027998,0.239792,unchanged,28,"N+, C+"
YAL064C-A,34,4,0.995302,0.016424,unchanged,31,"N+, C++"
YAL064C-A,34,4,0.981234,0.003474,unchanged,33,"N++,C++"
YAL064C-A,35,4,1.003387,0.095378,unchanged,91,"N++,C+"
YAL064C-A,58,4,1.004009,0.108524,unchanged,93,"N-,C++"
YAL064W,34,4,1.016996,0.243442,unchanged,28,"N+, C+"
YAL064W,34,4,1.01541,0.204323,unchanged,31,"N+, C++"
YAL064W,34,4,1.021925,0.25335,unchanged,33,"N++,C++"
YAL064W,35,4,1.061276,0.119694,unchanged,91,"N++,C+"
YAL064W,58,4,1.017038,0.290297,unchanged,93,"N-,C++"
YAL065C,34,4,1.03859,0.090489,unchanged,28,"N+, C+"
YAL065C,34,4,1.047008,0.111989,unchanged,31,"N+, C++"
YAL065C,34,4,1.00847,0.128994,unchanged,33,"N++,C++"
YAL065C,35,4,1.027513,0.152137,unchanged,91,"N++,C+"
YAL065C,58,4,1.010572,0.264488,unchanged,93,"N-,C++"
YAL066W,34,4,1.043932,0.02214,unchanged,28,"N+, C+"
YAL066W,34,4,1.027759,0.24189,unchanged,31,"N+, C++"
YAL066W,34,4,1.047038,0.059068,unchanged,33,"N++,C++"
YAL066W,35,4,1.029762,0.089184,unchanged,91,"N++,C+"
YAL066W,58,4,1.111953,0.0013,increased,93,"N-,C++"
YAL067C,34,4,0.952627,0.001525,decreased,28,"N+, C+"
YAL067C,34,4,0.97609,0.015567,unchanged,31,"N+, C++"
YAL067C,34,4,0.98741,0.011072,unchanged,33,"N++,C++"
YAL067C,35,4,0.956074,0.035112,unchanged,91,"N++,C+"
YAL067C,58,4,0.928191,0.001182,decreased,93,"N-,C++"
YAL067W-A,34,4,1.04781,0.025412,unchanged,28,"N+, C+"
YAL067W-A,34,4,1.048885,0.077074,unchanged,31,"N+, C++"
YAL067W-A,34,4,1.043292,0.125294,unchanged,33,"N++,C++"
YAL067W-A,35,4,1.039846,0.050295,unchanged,91,"N++,C+"
YAL067W-A,58,4,1.031135,0.21159,unchanged,93,"N-,C++"
YAL068C,34,4,0.965923,0.002249,decreased,28,"N+, C+"
YAL068C,34,4,1.003882,0.06965,unchanged,31,"N+, C++"
YAL068C,34,4,0.982432,0.006425,unchanged,33,"N++,C++"
YAL068C,35,4,0.998106,0.070943,unchanged,91,"N++,C+"
YAL068C,58,4,0.970095,0.00281,decreased,93,"N-,C++"
YAL069W,34,4,1.010817,0.184919,unchanged,28,"N+, C+"
YAL069W,34,4,1.016272,0.1671,unchanged,31,"N+, C++"
YAL069W,34,4,1.01582,0.113329,unchanged,33,"N++,C++"
YAL069W,35,4,0.994663,0.033735,unchanged,91,"N++,C+"
YAL069W,58,4,1.005851,0.135911,unchanged,93,"N-,C++"
YAR002C-A,34,4,1.021481,0.233825,unchanged,28,"N+, C+"
YAR002C-A,34,4,1.000476,0.064111,unchanged,31,"N+, C++"
YAR002C-A,34,4,0.996849,0.083659,unchanged,33,"N++,C++"
YAR002C-A,35,4,1.049528,0.081586,unchanged,91,"N++,C+"
YAR002C-A,58,4,1.056242,0.017098,unchanged,93,"N-,C++"
YAR002W,34,4,1.03045,0.252749,unchanged,28,"N+, C+"
YAR002W,34,4,1.007468,0.06547,unchanged,31,"N+, C++"
YAR002W,34,4,0.991771,0.026317,unchanged,33,"N++,C++"
YAR002W,35,4,1.009368,0.229829,unchanged,91,"N++,C+"
YAR002W,58,4,1.020047,0.224617,unchanged,93,"N-,C++"
YAR003W,34,4,1.016152,0.14453,unchanged,28,"N+, C+"
YAR003W,34,4,1.052538,0.126642,unchanged,31,"N+, C++"
YAR003W,34,4,0.998514,0.089661,unchanged,33,"N++,C++"
