"orf_name","colony_id","colony_size"
"YPL108W",200710,0.990875
"YDR424C",200711,1.017593
"YNR020C",200712,1.062156
"YJL053W",200713,1.09765
"YKL090W",200714,0.889854
"YFL045C",200715,0.907574
"YNL290W",200716,0.93533
"YML035C",200717,0.91762
"YGR131W",200718,1.022382
"YPR069C",200719,0.984965
"YNL320W",200720,0.962982
"YDL198C",200721,1.010989
"YFR014C",200722,1.070762
"YCR044C",200724,1.049872
"YNL250W",200725,0.9508
"YCR088W",200727,0.740406
"YNL232W",200728,0.965129
"YDL052C",200729,1.01778
"YER136W",200730,0.963282
"YMR318C",200732,0.95964
"YML042W",200733,0.983121
"YIL009C-A",200734,0.990875
"YAL016W",200735,0.968082
"YNL246W",200736,0.965889
"YDL021W",200737,0.975699
"YDR117C",200738,0.952865
"YJL122W",200739,1.000926
"YLR316C",200740,1.052314
"YOR322C",200741,0.948985
"YNR024W",200742,0.970733
"YPL042C",200743,0.990875
"YNR023W",200744,0.980499
"YDL183C",200745,0.952327
"YKR015C",200746,0.962935
"YKL185W",200747,0.907459
"YDR423C",200748,0.897003
"YKR018C",200749,0.955805
"YBR069C",200751,1.003021
"YOL102C",200752,1.041541
"YDL209C",200753,0
"YLR199C",200754,0.997498
"YDL015C",200755,0.990875
"YGL028C",200756,0.960067
"YNL023C",200757,0.906988
"YBL072C",200758,0.917232
"YEL030W",200759,0.943524
"YOL093W",200760,1.008468
"YPL208W",200762,0.984702
"YDL103C",200763,0.994413
"YPR046W",200774,0.981148
"YMR123W",200775,0.933355
"YGL063W",200776,1.012013
"YDR363W-A",200777,0.912756
"YHL012W",200778,0.89358
"YLR364W",200779,0.928749
"YGL093W",200780,0.947008
"YDR079W",200781,0.903367
"YCL048W",200782,0.413194
"YMR138W",200783,0.963286
"YNL322C",200784,0.982615
"YDR322C-A",200785,0.946836
"YEL041W",200786,1.033522
"YDR133C",200789,0.994868
"YPR157W",200790,0.887824
"YMR134W",200791,0.968325
"YML132W",200792,0.955393
"YDR281C",200793,0.977946
"YNL283C",200794,0.906825
"YLR363C",200795,1.056713
"YIL017C",200796,1.011231
"YDR156W",200797,1.033152
"YPL254W",200798,0.924773
"YGL212W",200800,1.003938
"YDR286C",200801,0.998117
"YER078C",200802,1.080538
"YLR365W",200803,1.044134
"YDR155C",200805,0.992196
"YOL111C",200806,0.990219
"YMR122C",200807,0.98491
"YPL057C",200808,0.967314
"YDR357C",200809,1.042573
"YGR248W",200810,0.980369
"YLR366W",200811,0.989529
"YGR070W",200812,0.630317
"YDR179C",200813,0.934253
"YOR351C",200814,0.965569
"YMR141C",200815,1.081998
"YDR224C",200817,1.068351
"YNL195C",200818,0.97089
"YLR385C",200819,0.920751
"YHR098C",200820,0.483216
"YDR201W",200821,0.950323
"YGR033C",200822,0.907938
"YMR148W",200823,0.960549
"YBR183W",200824,0.940732
"YDR308C",200825,1.071953
"YPR144C",200826,1.013339
"YLR390W",200827,0.998588
"YAL041W",200838,0.99742
"YDL059C",200839,0.987438
"YKL045W",200840,0.998108
"YOR084W",200841,0.951087
"YBR247C",200842,0.841838
"YDR100W",200843,0.948717
"YMR183C",200844,0.944906
"YJL094C",200846,0.938791
"YDR541C",200847,0.93208
"YPR013C",200848,1.012014
"YOR082C",200849,1.057772
"YDL043C",200850,1.086164
"YDR067C",200851,1.028445
"YMR127C",200852,0.823715
"YMR243C",200853,0.886674
"YBL079W",200854,0.774805
"YDL212W",200855,1.020666
"YOR380W",200856,0.894107
"YOR107W",200857,0.949134
"YKR013W",200858,0.973027
"YDR183W",200859,1.011032
"YDR273W",200860,1.046549
"YMR209C",200861,1.016691
"YOR141C",200862,0.990875
"YPL133C",200863,0.949509
"YMR036C",200864,0.941331
"YOR111W",200865,0.974476
"YER189W",200866,0.980355
"YDR184C",200867,1.028159
"YDR249C",200868,0.996433
"YMR215W",200869,0.94092
"YPL167C",200870,0.936296
"YPL173W",200871,0.966846
"YOR176W",200872,0.943443
"YBL071C",200873,1.03415
"YOR377W",200874,0.944184
"YDR113C",200875,0.609573
"YDR321W",200876,0.979357
"YMR258C",200877,0.828204
"YDR206W",200878,1.041323
"YPL153C",200879,0.740505
"YJL221C",200880,0.94108
"YNL204C",200881,0.990875
"YGR086C",200882,0.912499
"YDR171W",200883,0.945122
"YPR063C",200884,0.953783
"YMR213W",200885,0.959622
"YGL049C",200886,0.582757
"YPL209C",200887,0.899889
"YLL010C",200888,0.808142
"YNL108C",200890,0.826548
"YDR197W",200891,1.004774
"YKR053C",200902,1.026527
"YOR117W",200904,1.06089
"YMR252C",200905,0.985802
"YLR334C",200906,1.05345
"YCR053W",200907,0.969921
"YDR478W",200908,0.983625
"YDR432W",200910,1.015333
"YLR015W",200911,0.91808
"YOR032C",200912,0.44553
"YBR162W-A",200913,1.042851
"YJL077C",200914,0.941531
"YDL159W",200915,1.041281
"YDR524C",200916,1.118302
"YOL142W",200917,0.990875
"YNL314W",200919,0.963019
"YLR085C",200920,1.004025
"YNL306W",200921,0.984965
"YGR265W",200922,0.984985
"YDR009W",200923,0.945506
"YJR102C",200924,1.049008
"YBR264C",200926,1.083462
"YBR251W",200927,1.002067
"YPL263C",200928,1.015043
"YPL271W",200929,1.032956
"YOR012W",200930,0.977811
"YDL156W",200931,0.963881
"YFR053C",200932,1.000692
"YNL191W",200933,0.928697
"YML097C",200934,1.032243
"YLR388W",200935,0.999213
"YCR020C-A",200937,1.032245
"YDL178W",200939,0.955198
"YDR167W",200940,1.042093
"YNL324W",200941,0.945682
"YOR294W",200942,1.037462
"YDR534C",200943,0.86166
"YBR279W",200944,0.96922
"YDL005C",200945,0.902109
"YHR136C",200946,0.971305
"YFL040W",200947,0.971257
"YGR211W",200948,0.881904
"YNR043W",200949,0.836617
"YML095C",200950,0.987088
"YDR098C",200951,0.949628
"YNL279W",200952,0.958449
"YLR315W",200954,1.070421
"YGL076C",200955,1.068269
"YPR035W",200966,1.087449
"YGL027C",200967,1.028133
"YNR011C",200968,0.943146
"YJL160C",200969,0.994088
"YHR032W",200972,0.954647
"YGR079W",200973,1.025111
"YLR105C",200974,1.015152
"YDL040C",200975,0.918114
"YNR011C",200976,1.016433
"YHR074W",200978,1.105559
"YKL091C",200980,0.994708
"YNL269W",200981,0.945688
"YIL136W",200982,0.997902
"YNL014W",200983,0.928544
"YER033C",200984,0.146173
